uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count
at://did:plc:kydhfsfa2w5hghnz4fluoxqz/app.bsky.feed.post/3mmz7teuurk2u,https://bsky.app/profile/laurarbelin.bsky.social/post/3mmz7teuurk2u,laurarbelin.bsky.social,"A wild day in the GOP race for Iowa governor.
Public poll showed Feenstra sinking, Lahn rising (consistent with private polling).
Establishment hit the panic button, got Trump to endorse Randy Feenstra, finally.
Minutes later Zach Lahn announced he has Turning Point USA's support.",2026-05-29T18:59:44.566Z,0,1,0,0
at://did:plc:xsvngm3ihhp3apxgutfj3l65/app.bsky.feed.post/3mmz7kzklhs2a,https://bsky.app/profile/bradyunited.org/post/3mmz7kzklhs2a,bradyunited.org,"States that require background checks for gun sales have lower rates of firearm homicide, suicide, and gun trafficking.

Over 90% of Americans, including the majority of gun owners, support this common-sense measure to prevent gun violence.",2026-05-29T18:55:04.258Z,1,0,0,0
at://did:plc:hl5uydfsvd5nd3fz64e5izbz/app.bsky.feed.post/3mmz6wtbhl22i,https://bsky.app/profile/bahnsidhe.bsky.social/post/3mmz6wtbhl22i,bahnsidhe.bsky.social,I think it is called the second amendment but I could be wrong,2026-05-29T18:43:46.581Z,0,0,0,0
at://did:plc:pjrbgo4pr4eejyvpdz5o5ye2/app.bsky.feed.post/3mmz6k6jdsc2h,https://bsky.app/profile/ilk.org/post/3mmz6k6jdsc2h,ilk.org,Because the Second Amendment doesn’t work?,2026-05-29T18:36:42.166Z,0,0,3,0
at://did:plc:cnsi7gr3xabjvyzwbze64goc/app.bsky.feed.post/3mmz6hraosc2f,https://bsky.app/profile/andystheory.bsky.social/post/3mmz6hraosc2f,andystheory.bsky.social,"A tariff is a tax, a racist is a racist, and it’s time to address gun safety with real educational reform in America schools, along with the role of religion in politics and the obvious insider trading. corruption,  pedophilia and greed in the White House. It’s time for America to be America again.",2026-05-29T18:35:21.132Z,1,0,0,0
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz6fzie622y,https://bsky.app/profile/trumpreposter.bsky.social/post/3mmz6fzie622y,trumpreposter.bsky.social,"(4/4) Enforcement, Advance Election Integrity, and Defend our always under siege Second Amendment. 
 
Randy Feenstra has my Complete and Total Endorsement to be the next Governor of Iowa — RANDY WILL NEVER LET YOU DOWN! President DONALD J. TRUMP",2026-05-29T18:34:22.662Z,1,0,0,0
at://did:plc:dmqffqnazvesjtj3yco2hbvo/app.bsky.feed.post/3mmz66p5p522d,https://bsky.app/profile/bestsurvivor.bsky.social/post/3mmz66p5p522d,bestsurvivor.bsky.social,"We all know the real cause of gun violence.  We all know the real cure for gun violence. 

#GunControlNow",2026-05-29T18:30:16.956Z,0,0,0,0
at://did:plc:dmqffqnazvesjtj3yco2hbvo/app.bsky.feed.post/3mmz64jih722d,https://bsky.app/profile/bestsurvivor.bsky.social/post/3mmz64jih722d,bestsurvivor.bsky.social,"We all know the real cause of gun violence. We all know the real cure for gun violence.

#GunControlNow",2026-05-29T18:29:03.908Z,0,0,0,0
at://did:plc:ef4omfctzvx5j6pzhdx2cmrs/app.bsky.feed.post/3mmz644sxmc2p,https://bsky.app/profile/olraca.bsky.social/post/3mmz644sxmc2p,olraca.bsky.social,"None of these neighborhood streets adjacent to Aurora should continue to remain open to cut thru traffic, especially the ones lacking sidewalks. It's unfortunate that gun violence is what it takes for the city to take bold action but it demonstrates that the Seattle process can be bypassed.",2026-05-29T18:28:50.619Z,2,0,0,0
at://did:plc:ctfspmwvunphh6sxpbushamg/app.bsky.feed.post/3mmz63grckk2n,https://bsky.app/profile/lmcrory.bsky.social/post/3mmz63grckk2n,lmcrory.bsky.social,"Surely there's no circumstances a child (or anyone) needs to learn to shoot a hand gun. Bearing in mind the hunting/shotgun interest, surely teaching about gun safety would be more appropriate. 
*I'm not in favour of any hunting/shooting but I know some countries are still in thrall to it.",2026-05-29T18:28:27.498Z,0,0,0,0
at://did:plc:futsc4l2ctqjnk4jtm3mbkz3/app.bsky.feed.post/3mmz5veeg722f,https://bsky.app/profile/davidcaryhart.bsky.social/post/3mmz5veeg722f,davidcaryhart.bsky.social,"David, a recovering GOPer, was pretty rational in Congress (2014-2017). Moreover, he was a gun safety advocate, which is rare for a Republican. We have enough weaponry in FL to arm enough troops to invade and occupy Canada.",2026-05-29T18:25:03.653Z,0,0,0,0
at://did:plc:yfj2lagcs4k4c4ahvsbop4sy/app.bsky.feed.post/3mmz5uash5s2c,https://bsky.app/profile/krisbrown.bradyunited.org/post/3mmz5uash5s2c,krisbrown.bradyunited.org,"With Virginia’s recent actions on gun violence prevention, our Commonwealth requires background checks on all gun sales. 

Background checks save lives. They keep guns out of dangerous hands. 

Law-abiding Virginians have nothing to fear, and all of us have something to gain from safer communities.",2026-05-29T18:24:26.364Z,40,12,1,1
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz5jngim22c,https://bsky.app/profile/trumpreposter.bsky.social/post/3mmz5jngim22c,trumpreposter.bsky.social,"(6/6) always under siege Second Amendment. 
 
David Flippo has my Complete and Total Endorsement to be the next Representative from Nevada’s 2nd Congressional District – HE WILL NEVER LET YOU DOWN! President DONALD J. TRUMP",2026-05-29T18:18:30.499Z,0,0,0,0
at://did:plc:4x2n25hyaykkxz37qchwmhqc/app.bsky.feed.post/3mmz5hguiwy2g,https://bsky.app/profile/dailycaller.bsky.social/post/3mmz5hguiwy2g,dailycaller.bsky.social,"While anti-Second Amendment politicians have pushed laws targeting so-called “Glock switches,” their use in homicide has been rarer than fatal lightning strikes since 2021.

Supporters of the measures passed in four states claimed that so-called “Glock switches” are used to illegally convert Glock…",2026-05-29T18:17:16Z,0,0,0,0
