handle,post_handle,post,post_timestamp,post_id
bruces.bsky.social,ottoenglish.bsky.social,"Vote Reform. 

Or we will house *dangerous migrant centres* in your village. And if you vote Green, it will be even worse for you.

It's beyond disturbing. The chill wind of threat, thuggery and menace of a kind never before seen in Britain.",2026-05-04T06:06:15.198Z,at://did:plc:5mqpgxjffcckasqv7h6g7itu/app.bsky.feed.post/3mkyyxaxnk22p
bruces.bsky.social,beijingpalmer.bsky.social,this man's levels of game are beyond mere mortals.,2026-05-04T09:10:40.265Z,at://did:plc:qfwinostecndnbvwwunsmihi/app.bsky.feed.post/3mkzdazfprs2p
bruces.bsky.social,maranomynet.bsky.social,Not all octopuses.,2026-05-04T10:28:06.645Z,at://did:plc:neb55iuski3exgzrm53u5shj/app.bsky.feed.post/3mkzhlijwcc2u
bruces.bsky.social,goingmedieval.bsky.social,"Kinda tired of the ""historians will say they're close friends"" meme. Babe, we've been screaming about how gay everyone is for *decades*. Funding for history keeps getting cut as a result. There are entire moral panics about it. You just haven't read any history since highschool.",2026-05-04T09:22:56.566Z,at://did:plc:wyjq6ym74oyazafkclvfjii5/app.bsky.feed.post/3mkzdwxlrrk22
katewillaert.bsky.social,feitclub.bsky.social,"as I stated in my MGC panel last weekend, you can sign up for ""real-time"" missives direct from Bram Stoker's novel as they happen via draculadaily.com",2026-05-03T23:00:53.371Z,at://did:plc:b76wp25kuvpxdjl23uijdsjb/app.bsky.feed.post/3mkyb6nga6k2x
katewillaert.bsky.social,tanookijoe.bsky.social,Here’s a high-res scan of a Kmart \ Marvel ad from 1995.,2026-05-04T11:46:25.105Z,at://did:plc:zrgg5pwakfkia7z77dexb5hn/app.bsky.feed.post/3mkzlxjdo2c2n
elainechen.com,hillarymonahan.bsky.social,"Having autism sensory issues is trying to explain ghosts only you can see to other people.

I hear all of the electronics in a room. I'm aware when lightbulbs are changed to LED and the brightness hurts. I can taste minuscule differences in foods that will make them great one day but bad the next.",2026-05-04T12:14:42.223Z,at://did:plc:cetrjmezvk2esgi7g5albcek/app.bsky.feed.post/3mkznk3tgxk2k
elainechen.com,v-e-tirado.com,"honestly i was thinking how gender confirming this was for me! every time theres a character creation game, i tend to choose the ""girl"" option and then use the most genderneutral options to trans the gender as i please",2026-05-04T01:14:37.789Z,at://did:plc:enoc6vpxbra2toalseoo6cy3/app.bsky.feed.post/3mkyins4bp22n
elainechen.com,celinashope.bsky.social,"I have found that for older ipods, a sharp wack on a solid surface can get the hd up & spinning again. I fixed 3 that way years ago, they still work. (ymmv)",2026-05-04T03:27:09.762Z,at://did:plc:v7jdyewji4s54galwptsu2v4/app.bsky.feed.post/3mkyq2rozik2c
elainechen.com,angrykem.bsky.social,"Today's #BirdOfTheDay theme is #Pairs. These two baby #TreeSwallows can see breakfast coming and have feelings about it.

#birds #photography #BirdPhotography #swallow #swallows #TreeSwallow #fledgling #wildlife #WildlifePhotography #nature #NaturePhotography",2026-05-04T12:01:07.317Z,at://did:plc:om25bk4y3bu5fl7up26pqwtx/app.bsky.feed.post/3mkzmrsoma22n
flicknow.xyz,tim.ink,It feels like a long one. How was your Monday?,2026-05-04T21:42:42.816Z,at://did:plc:nvc5ziurmfx5e6k7mygvrke3/app.bsky.feed.post/3ml2nbrmm2s25
flicknow.xyz,daverson.bsky.social,the $10 is for a paper cup of mostly ice moistened with cococola,2026-05-04T18:35:53.031Z,at://did:plc:hdgbgrdcdkhed5o77l52g7eh/app.bsky.feed.post/3ml2ctp55es25
flicknow.xyz,edwardodell.bsky.social,"if you're going to waste money on a spectacle, just set your money on fire, because this is guaranteed to taste like shit",2026-05-04T18:01:52.597Z,at://did:plc:xlpn3efkc3xdrpci2cvsezye/app.bsky.feed.post/3ml2awva22c2v
