handle,post_handle,post,post_timestamp,post_id,like_timestamp
sarahbagley.bsky.social,bethrich52.bsky.social,Just like films set in Ancient Rome.,2026-05-07T13:28:28.203Z,at://did:plc:5vmqumjc2brltvqrad7tmmoq/app.bsky.feed.post/3mlbd2r5v2k2x,2026-05-07T13:31:45.633Z
sarahbagley.bsky.social,elgalv.bsky.social,"Proud aunt moment! My 10 year old niece was just named student athlete of the month by her town's parks & rec department. 
I know nobody on here cares, but I felt a need to brag somewhere.",2026-05-07T01:51:57.249Z,at://did:plc:sq3paijxwa6vp6zumilmsz4g/app.bsky.feed.post/3mla45c77jc2b,2026-05-07T11:17:24.476Z
bruces.bsky.social,phasebinary.bsky.social,"very depressing that most high paying ChemE jobs are all in oil and gas 

you want to do interesting engineering? sorry, your customers are going to be polluters",2026-05-07T15:48:50.350Z,at://did:plc:xqrlg5mqp3xgp7kyq7ieqagw/app.bsky.feed.post/3mlbkvr5iw22v,2026-05-07T20:53:17.605Z
bruces.bsky.social,tk0l.bsky.social,"Folks, a confession: My name is Doug Lenat, and I died in 2023. My life's work was building Cyc, a fact-based, ontology-based AI system. My ""atomic tweets"" are a ploy to introduce Cyc to a new generation. They say Cyc failed but then how am I speaking to you from beyond the veil?",2026-05-07T17:03:24.111Z,at://did:plc:ye5vqk5rwyizerhg3r7otrh2/app.bsky.feed.post/3mlbp33nt622v,2026-05-07T20:49:46.540Z
bruces.bsky.social,gracekind.net,Interesting new angle in the AI personhood debate,2026-05-07T20:00:10.887Z,at://did:plc:p572wxnsuoogcrhlfrlizlrb/app.bsky.feed.post/3mlbyx72uvk2o,2026-05-07T20:40:53.226Z
bruces.bsky.social,jauntywk.bsky.social,"And, done!! Wow.
bsky.app/profile/carb...",2026-05-07T15:54:46.280Z,at://did:plc:zjbq26wybii5ojoypkso2mso/app.bsky.feed.post/3mlblaeljus2v,2026-05-07T20:38:00.889Z
bruces.bsky.social,pantuso.com,"Things we could stand to have a little 'moral panic' around  making a profit on: fossil fuels, health insurance, imprisoning people, irresponsible resource extraction",2026-04-25T22:34:05.030Z,at://did:plc:w346iivwpe7p2cyyromqsmo2/app.bsky.feed.post/3mke3xdvkoc2s,2026-05-07T16:15:42.884Z
bruces.bsky.social,pantuso.com,"The future is already here, it's just not evenly distributed",2026-04-27T18:53:31.757Z,at://did:plc:w346iivwpe7p2cyyromqsmo2/app.bsky.feed.post/3mkiqkslnic2a,2026-05-07T16:15:04.407Z
bruces.bsky.social,pantuso.com,"Without realizing it, Trump has fired the starting pistol for the final race to dump all fossil fuels wherever possible as dependencies",2026-03-27T08:29:05.039Z,at://did:plc:w346iivwpe7p2cyyromqsmo2/app.bsky.feed.post/3mhzp7oaupk2h,2026-05-07T16:12:32.750Z
bruces.bsky.social,teslatakedownla.bsky.social,"🔮 rank speculation: Broccolihead army strategically switches to bidding public SpaceXAI to the moon, TSLA continues to collapse and gets bailed out via “merger” with SpaceXAI. Musk finally consolidates various market psyops under one umbrella, SpaceXAITesla, the mother of all memestonks",2026-04-06T16:52:51.200Z,at://did:plc:k23u5zltqmxf5jx22klyfsrn/app.bsky.feed.post/3mitpzorn222m,2026-05-07T16:06:27.497Z
bruces.bsky.social,davidcrespo.bsky.social,"I know it sounds crazy but hear me out: I don’t think this is going to be a very productive partnership 
xcancel.com/SpaceX/statu...",2026-04-22T00:07:59.209Z,at://did:plc:ctphcgyhnllfluywokibtrgb/app.bsky.feed.post/3mk27dlaahk2b,2026-05-07T16:05:15.884Z
bruces.bsky.social,kattullus.bsky.social,"That quote is by Louis Eustache Ude, a now largely forgotten French chef whose cookbook, the French Cook, was wildly popular in the 19th Century. But eventually all good quotes from before 1900 get attributed to Voltaire, so it might as well be his.",2026-05-07T12:26:45.423Z,at://did:plc:w3hv27dshim2mvfyz5gwgjm6/app.bsky.feed.post/3mlb7mfvzws2g,2026-05-07T12:55:19.688Z
bruces.bsky.social,unklerupert.uk,"Mahon in Menorca, but yeah. Now I want to go back to Menorca.",2026-05-07T10:01:37.144Z,at://did:plc:eqysbgmz2xujkgspbk7se3og/app.bsky.feed.post/3mlaxiv2ha22u,2026-05-07T12:25:24.902Z
bruces.bsky.social,lucykemnitzer.bsky.social,"Even after he burned the place down because he was curious if Spanish moss is flammable (it is: it so, so is)",2026-05-07T09:02:20.035Z,at://did:plc:rtmbv5ocknjd2y6r2woapsz6/app.bsky.feed.post/3mlau6uq2yk2f,2026-05-07T09:16:36.623Z
bruces.bsky.social,bundleofholding.com,The mayonnaise section of every Dutch grocery store is disquietingly large and varied.,2026-05-07T07:58:59.603Z,at://did:plc:bjbfggbe7n4ngnpxj4te4k5k/app.bsky.feed.post/3mlaqnme3mk2m,2026-05-07T08:39:01.231Z
bruces.bsky.social,paulbernal.bsky.social,"One more thing about freedom of movement. It isn't a 'necessary evil', is a genuine positive. It's something that is good from almost every angle. We should have been celebrating it.",2026-05-07T08:15:24.751Z,at://did:plc:bur3yqsa44u4oroy3ohwjbol/app.bsky.feed.post/3mlarkxuh6s25,2026-05-07T08:35:40.195Z
bruces.bsky.social,ketanjoshi.co,"This is bad. Fossil fuels are a dangerous product and need to be urgently phased out. Shit like this just dumps a massive, red-hot acidic risk on the public.

The companies involved should be paying for decommissioning and worker retraining, and climate reparations",2026-05-07T08:19:43.280Z,at://did:plc:66lbtw2porscqpmair6mir37/app.bsky.feed.post/3mlarsog4w223,2026-05-07T08:34:10.492Z
bruces.bsky.social,milonogiannis.com,"listening to warren spector interviews and he just says stuff like ""we played D&D with bruce sterling for ten years"" or ""i introduced my wife to george"" and he means GRRM lmao",2026-05-06T17:45:07.981Z,at://did:plc:gwl4f7zmlbvhk2u6yyg46sb5/app.bsky.feed.post/3ml7aws32r22j,2026-05-07T07:35:44.217Z
katewillaert.bsky.social,mossrc.bsky.social,"If I were to write a book about the history, art, and design of the LucasArts and Humongous adventure games, and their underlying SCUMM engine, based on dozens of interviews, would you buy it? 

My SCUMM documentary is going on hiatus and I need to decide whether to do it as a book instead.",2026-05-07T23:56:56.419Z,at://did:plc:slp7374il33ht43hkxegjigx/app.bsky.feed.post/3mlcg6kjdps2s,2026-05-08T00:13:57.615Z
katewillaert.bsky.social,lainenooney.bsky.social,"lol no they hired a professional! 😅 i had to listen to several sample speakers, and there seems to be a preferred cadence style for audio book people -- i suspect people whose articulation still hold up at 2x speed",2026-05-07T18:48:01.572Z,at://did:plc:ncbbuj6p5tpgybs2hi4uvtcc/app.bsky.feed.post/3mlbuw6co7s2c,2026-05-07T23:55:59.977Z
katewillaert.bsky.social,lainenooney.bsky.social,THE APPLE II AGE audio book is 60% for spring! enjoy: www.audiobooks.com/promotions/p...,2026-05-07T17:59:13.635Z,at://did:plc:ncbbuj6p5tpgybs2hi4uvtcc/app.bsky.feed.post/3mlbs6vz4qk2c,2026-05-07T18:07:01.221Z
katewillaert.bsky.social,dominictarason.com,"The issue, judging by the slim user-review count on both of these great games, is that F-Zero fans aren't starving for new games. Rather, the vast majority just want to buy Brand Product on Familiar Nintendo Console.

That's conditioning that needs to be broken, because there is SO much out there.",2026-05-07T17:09:13.108Z,at://did:plc:knybgc4siigl22kc5t4new4w/app.bsky.feed.post/3mlbpfiowww2n,2026-05-07T17:51:58.780Z
katewillaert.bsky.social,dominictarason.com,"On that note, if you want to see what happens when someone does something new with F-Zero, XF: Extreme Formula is an F-Zero like racer but with a story mode that has you living the racer life, doing contract work (including on-foot platforming/brawling) to buy upgrades for your racing ship.",2026-05-07T17:02:32.307Z,at://did:plc:knybgc4siigl22kc5t4new4w/app.bsky.feed.post/3mlbozkb3nd27,2026-05-07T17:51:12.708Z
katewillaert.bsky.social,carrythezero.bsky.social,This is from a Guardian article in 2003. Is this how people used to say MMORPG???!!,2026-05-07T10:19:32.907Z,at://did:plc:jhhm2n6ypekmhikfdiehdrar/app.bsky.feed.post/3mlayiwy4zs2l,2026-05-07T13:20:13.769Z
katewillaert.bsky.social,metaj92.itch.io,Here you go: youtu.be/5OGAs8FGzx4?...,2026-05-07T01:23:35.690Z,at://did:plc:nujdkhkhigfswvowge5u7usw/app.bsky.feed.post/3mla2klhptc2f,2026-05-07T01:32:33.607Z
katewillaert.bsky.social,jparish.bsky.social,"It feels pretty good to be completely indifferent to Star Fox as a property right now. I am free of the burden of caring! Join me, it's nice here",2026-05-06T22:53:05.819Z,at://did:plc:cs675sj2rlghz65p4hzii7b6/app.bsky.feed.post/3ml7s5hvyf22g,2026-05-06T23:36:24.444Z
katewillaert.bsky.social,jacobgeller.com,"The phrase ""it's probably like being kicked in the head by a horse every day"" lives in my brain rent free",2026-05-06T20:45:21.183Z,at://did:plc:jcy5tnrrvxg4yrh2qxsgzu5p/app.bsky.feed.post/3ml7kz2dx7s2u,2026-05-06T20:59:32.107Z
katewillaert.bsky.social,pronounpicker.ripperoni.com,She/Her,2026-02-08T21:13:39.528Z,at://did:plc:l3nbhdfelt5d26btksecetxu/app.bsky.feed.post/3meetzkvwes2z,2026-05-06T13:40:37.578Z
katewillaert.bsky.social,jacobgeller.com,My signature is kinda nonsense at the best of times but I'm signing 2000 bookplates for the upcoming book and am experiencing a sort of post-modern meaning collapse of my own name,2026-05-06T12:15:48.307Z,at://did:plc:jcy5tnrrvxg4yrh2qxsgzu5p/app.bsky.feed.post/3ml6ojvrp3s2u,2026-05-06T13:34:29.665Z
katewillaert.bsky.social,sonasky.app,Species: Shapeshifter,2024-08-09T22:30:00.703Z,at://did:plc:2qawvcwumvgxmed6iy6pmt6l/app.bsky.feed.post/3kzcyrltf722s,2026-05-06T13:33:56.082Z
rjelevi.bsky.social,samuelhayimbrody.bsky.social,"Education advocates should start framing “using public higher ed for workforce training” as a “subsidy.”

It’s a subsidy, we’re taking the costs of training off company books and making the public pay for it. 

College is for learning how to inquire. You want a specific employee, YOU train them",2026-05-07T16:02:51.606Z,at://did:plc:izvvkwpmfho5hk62ze6zqw7y/app.bsky.feed.post/3mlblotgjzk2x,2026-05-07T16:06:22.295Z
rjelevi.bsky.social,mpgphd.bsky.social,whoopsiedoodle,2026-05-07T13:54:24.029Z,at://did:plc:xutizofmpedql2cqkekr3kxf/app.bsky.feed.post/3mlbej4vxec2k,2026-05-07T14:08:37.007Z
