uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count,news_or_opinion_category,is_political,is_self_contained,is_structurally_complete,toxicity_prob,toxicity_tier,political_stance
at://did:plc:xsvngm3ihhp3apxgutfj3l65/app.bsky.feed.post/3mmz7kzklhs2a,https://bsky.app/profile/bradyunited.org/post/3mmz7kzklhs2a,bradyunited.org,"States that require background checks for gun sales have lower rates of firearm homicide, suicide, and gun trafficking.

Over 90% of Americans, including the majority of gun owners, support this common-sense measure to prevent gun violence.",2026-05-29 13:55:04.258000-05:00,1,0,0,0,opinion,True,True,True,0.049089402,low,left
at://did:plc:cnsi7gr3xabjvyzwbze64goc/app.bsky.feed.post/3mmz6hraosc2f,https://bsky.app/profile/andystheory.bsky.social/post/3mmz6hraosc2f,andystheory.bsky.social,"A tariff is a tax, a racist is a racist, and it’s time to address gun safety with real educational reform in America schools, along with the role of religion in politics and the obvious insider trading. corruption,  pedophilia and greed in the White House. It’s time for America to be America again.",2026-05-29 13:35:21.132000-05:00,1,0,0,0,opinion,True,True,True,0.37751234,medium,right
at://did:plc:dmqffqnazvesjtj3yco2hbvo/app.bsky.feed.post/3mmz66p5p522d,https://bsky.app/profile/bestsurvivor.bsky.social/post/3mmz66p5p522d,bestsurvivor.bsky.social,"We all know the real cause of gun violence.  We all know the real cure for gun violence. 

#GunControlNow",2026-05-29 13:30:16.956000-05:00,0,0,0,0,opinion,True,True,True,0.063027434,low,left
at://did:plc:dmqffqnazvesjtj3yco2hbvo/app.bsky.feed.post/3mmz64jih722d,https://bsky.app/profile/bestsurvivor.bsky.social/post/3mmz64jih722d,bestsurvivor.bsky.social,"We all know the real cause of gun violence. We all know the real cure for gun violence.

#GunControlNow",2026-05-29 13:29:03.908000-05:00,0,0,0,0,opinion,True,True,True,0.06025757,low,left
at://did:plc:ef4omfctzvx5j6pzhdx2cmrs/app.bsky.feed.post/3mmz644sxmc2p,https://bsky.app/profile/olraca.bsky.social/post/3mmz644sxmc2p,olraca.bsky.social,"None of these neighborhood streets adjacent to Aurora should continue to remain open to cut thru traffic, especially the ones lacking sidewalks. It's unfortunate that gun violence is what it takes for the city to take bold action but it demonstrates that the Seattle process can be bypassed.",2026-05-29 13:28:50.619000-05:00,2,0,0,0,opinion,True,True,True,0.026263772,low,left
at://did:plc:ctfspmwvunphh6sxpbushamg/app.bsky.feed.post/3mmz63grckk2n,https://bsky.app/profile/lmcrory.bsky.social/post/3mmz63grckk2n,lmcrory.bsky.social,"Surely there's no circumstances a child (or anyone) needs to learn to shoot a hand gun. Bearing in mind the hunting/shotgun interest, surely teaching about gun safety would be more appropriate. 
*I'm not in favour of any hunting/shooting but I know some countries are still in thrall to it.",2026-05-29 13:28:27.498000-05:00,0,0,0,0,opinion,True,True,True,0.11212669,medium,left
at://did:plc:yfj2lagcs4k4c4ahvsbop4sy/app.bsky.feed.post/3mmz5uash5s2c,https://bsky.app/profile/krisbrown.bradyunited.org/post/3mmz5uash5s2c,krisbrown.bradyunited.org,"With Virginia’s recent actions on gun violence prevention, our Commonwealth requires background checks on all gun sales. 

Background checks save lives. They keep guns out of dangerous hands. 

Law-abiding Virginians have nothing to fear, and all of us have something to gain from safer communities.",2026-05-29 13:24:26.364000-05:00,40,12,1,1,opinion,True,True,True,0.022139108,low,left
at://did:plc:7zt22bu4xfjuym5zjwfwgzp6/app.bsky.feed.post/3mmz4ojdrns2b,https://bsky.app/profile/adorablesergal.neocities.org/post/3mmz4ojdrns2b,adorablesergal.neocities.org,"ngl watching some americans start to wonder if they need an entirely new constitution makes me nervous as hell, like good for you realizing the current one sucks ass, but also you're likely the same kind of person who thinks gun control is a great idea without thinking deeply on who'll enforce that.",2026-05-29 13:03:20.252000-05:00,2,0,2,0,opinion,True,True,True,0.6827122,medium,unclear
at://did:plc:3gn4uiw4cyocrhsokfe4maue/app.bsky.feed.post/3mmz3l2x7ik2t,https://bsky.app/profile/chonkdog.bsky.social/post/3mmz3l2x7ik2t,chonkdog.bsky.social,"That’s why they left us the second amendment, so we could straighten that shit put real quick. Sadly we’ve abdicated our responsibility for self-preservation to law enforcement, the same guys who are fucking us in the streets and doing nothing about tyranny or rampant corruption.",2026-05-29 12:43:30.755000-05:00,0,0,0,0,opinion,True,True,True,0.6611249,medium,right
at://did:plc:vdvqgvmivyud2qhpiyq6izdh/app.bsky.feed.post/3mmyzsiev4s2l,https://bsky.app/profile/lulucaliente.bsky.social/post/3mmyzsiev4s2l,lulucaliente.bsky.social,"Yeah we know, we're a joke but not a funny one. The people who dont have guns and disagree that the Second Amendment stands for unlimited amounts and types of guns are the folks who the USA government is committing the tyranny over.",2026-05-29 12:11:52.231000-05:00,1,0,0,0,opinion,True,True,True,0.1460314,medium,right
